parent_Occupation;occupation;ethnicity_race;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Management, professional, and related occupations;Management, business, and financial operations occupations;Hispanic;1650000;1617000;1594000;1594000;1908000;1916000;1867000;2070000;2253000;2293000
Professional and related occupations;Architect;Hispanic;13000;14000;16000;8000;17000;15000;14000;8000;16000;14000
Professional and related occupations;Biological or life scientist;Hispanic;6000;13000;18000;17000;14000;20000;14000;18000;9000;24000
Professional and related occupations;Chemist;Hispanic;6000;6000;6000;4000;9000;12000;4000;7000;6000;4000
Professional and related occupations;Dietitian;Hispanic;9000;7000;5000;10000;9000;9000;6000;9000;7000;9000
Professional and related occupations;Economist and market and survey researcher;Hispanic;11000;8000;5000;15000;11000;19000;22000;27000;26000;30000
Professional and related occupations;Engineer;Hispanic;117000;121000;108000;114000;108000;127000;140000;160000;169000;179000
Professional and related occupations;Engineering and related technologist or technician;Hispanic;68000;48000;55000;55000;69000;56000;52000;52000;69000;65000
Professional and related occupations;Health technologist or technician;Hispanic;167000;209000;191000;232000;247000;280000;262000;294000;298000;303000
Professional and related occupations;Lawyer or judge;Hispanic;37000;32000;40000;41000;47000;54000;53000;55000;55000;56000
Professional and related occupations;Mathematical or computer scientist;Hispanic;177000;186000;183000;204000;212000;252000;245000;264000;270000;316000
Professional and related occupations;Pharmacist;Hispanic;7000;9000;12000;12000;13000;13000;13000;10000;10000;17000
Professional and related occupations;Physician;Hispanic;51000;52000;59000;54000;48000;36000;53000;57000;68000;70000
Professional and related occupations;Physicians' assistant;Hispanic;9000;11000;9000;10000;10000;13000;5000;5000;4000;5000
Professional and related occupations;Psychologist;Hispanic;8000;10000;15000;13000;11000;16000;20000;14000;12000;13000
Professional and related occupations;Registered nurse;Hispanic;135000;127000;136000;138000;170000;188000;171000;177000;191000;197000
Professional and related occupations;Science technician;Hispanic;14000;30000;35000;15000;34000;32000;34000;31000;32000;42000
Professional and related occupations;Teacher, except postsecondary (college and university);Hispanic;423000;415000;427000;486000;559000;590000;548000;545000;540000;626000
Professional and related occupations;Teacher, postsecondary (college and university);Hispanic;55000;60000;60000;64000;80000;81000;66000;82000;89000;83000
Professional and related occupations;Therapist;Hispanic;31000;38000;47000;44000;62000;61000;50000;70000;78000;63000
Professional and related occupations;Other health care professional;Hispanic;15000;20000;16000;25000;16000;33000;23000;29000;33000;22000
Professional and related occupations;Other natural scientist;Hispanic;3000;5000;11000;11000;8000;9000;17000;18000;23000;26000
Professional and related occupations;Other social scientist or urban planner;Hispanic;4000;2000;4000;5000;8000;2000;5000;3000;11000;5000
Professional and related occupations;Other professional or related occupation;Hispanic;685000;686000;707000;716000;795000;739000;766000;839000;865000;871000
All occupations;Other occupations;Hispanic;16561000;15913000;16162000;16399000;17423000;17957000;17861000;18381000;18897000;19295000
Management, professional, and related occupations;Management, business, and financial operations occupations;Black;1552000;1490000;1453000;1512000;1673000;1594000;1639000;1865000;1891000;1919000
Professional and related occupations;Architect;Black;8000;4000;5000;2000;3000;0;5000;9000;4000;6000
Professional and related occupations;Biological or life scientist;Black;21000;17000;16000;19000;12000;15000;15000;14000;10000;15000
Professional and related occupations;Chemist;Black;4000;10000;9000;8000;5000;7000;8000;7000;10000;13000
Professional and related occupations;Dietitian;Black;24000;23000;12000;19000;15000;16000;10000;14000;18000;15000
Professional and related occupations;Economist and market and survey researcher;Black;10000;5000;12000;14000;14000;20000;15000;15000;18000;23000
Professional and related occupations;Engineer;Black;88000;78000;93000;93000;100000;108000;90000;108000;111000;122000
Professional and related occupations;Engineering and related technologist or technician;Black;41000;46000;32000;48000;48000;37000;42000;47000;49000;28000
Professional and related occupations;Health technologist or technician;Black;310000;334000;357000;349000;319000;352000;392000;406000;440000;437000
Professional and related occupations;Lawyer or judge;Black;46000;50000;51000;66000;49000;50000;63000;59000;53000;70000
Professional and related occupations;Mathematical or computer scientist;Black;281000;232000;230000;238000;259000;310000;340000;361000;336000;376000
Professional and related occupations;Pharmacist;Black;26000;23000;16000;16000;20000;11000;18000;29000;29000;28000
Professional and related occupations;Physician;Black;54000;53000;49000;37000;64000;61000;47000;67000;71000;91000
Professional and related occupations;Physicians' assistant;Black;7000;9000;5000;10000;11000;7000;4000;5000;2000;6000
Professional and related occupations;Psychologist;Black;12000;11000;8000;10000;8000;7000;11000;9000;12000;11000
Professional and related occupations;Registered nurse;Black;278000;309000;335000;281000;313000;292000;333000;361000;366000;353000
Professional and related occupations;Science technician;Black;40000;27000;25000;27000;34000;21000;30000;35000;28000;22000
Professional and related occupations;Teacher, except postsecondary (college and university);Black;564000;529000;550000;541000;516000;506000;614000;649000;588000;628000
Professional and related occupations;Teacher, postsecondary (college and university);Black;64000;67000;88000;92000;99000;85000;73000;58000;95000;114000
Professional and related occupations;Therapist;Black;41000;57000;51000;35000;42000;53000;67000;61000;62000;78000
Professional and related occupations;Other health care professional;Black;8000;7000;3000;11000;10000;22000;25000;22000;34000;30000
Professional and related occupations;Other natural scientist;Black;11000;3000;12000;18000;10000;19000;9000;12000;15000;17000
Professional and related occupations;Other social scientist or urban planner;Black;5000;3000;7000;8000;6000;7000;7000;11000;7000;5000
Professional and related occupations;Other professional or related occupation;Black;816000;830000;809000;797000;788000;810000;821000;843000;892000;944000
All occupations;Other occupations;Black;11069000;10309000;10189000;10124000;10417000;10767000;11064000;11392000;11793000;12074000
Management, professional, and related occupations;Management, business, and financial operations occupations;White;17253000;17102000;16622000;16653000;17177000;17419000;17581000;17944000;18325000;18692000
Professional and related occupations;Architect;White;190000;175000;162000;155000;164000;154000;153000;158000;183000;200000
Professional and related occupations;Biological or life scientist;White;214000;221000;212000;247000;227000;226000;208000;198000;211000;228000
Professional and related occupations;Chemist;White;73000;77000;70000;61000;75000;82000;79000;72000;60000;63000
Professional and related occupations;Dietitian;White;69000;65000;81000;70000;78000;76000;87000;84000;79000;85000
Professional and related occupations;Economist and market and survey researcher;White;130000;130000;146000;176000;193000;197000;235000;222000;245000;275000
Professional and related occupations;Engineer;White;1508000;1388000;1379000;1550000;1508000;1482000;1458000;1494000;1651000;1663000
Professional and related occupations;Engineering and related technologist or technician;White;523000;461000;460000;443000;455000;434000;404000;438000;398000;418000
Professional and related occupations;Health technologist or technician;White;1654000;1739000;1767000;1745000;1639000;1697000;1806000;1881000;1880000;1865000
Professional and related occupations;Lawyer or judge;White;933000;961000;969000;1003000;978000;978000;981000;1038000;1013000;1020000
Professional and related occupations;Mathematical or computer scientist;White;2553000;2467000;2511000;2496000;2549000;2599000;2768000;2796000;2831000;2960000
Professional and related occupations;Pharmacist;White;187000;194000;186000;191000;194000;192000;197000;185000;214000;223000
Professional and related occupations;Physician;White;607000;643000;625000;598000;631000;621000;681000;690000;710000;705000
Professional and related occupations;Physicians' assistant;White;86000;63000;82000;72000;70000;98000;72000;64000;70000;90000
Professional and related occupations;Psychologist;White;145000;138000;157000;163000;149000;159000;181000;170000;140000;151000
Professional and related occupations;Registered nurse;White;2077000;2095000;2097000;2065000;2071000;2092000;2096000;2080000;2190000;2228000
Professional and related occupations;Science technician;White;177000;177000;194000;199000;205000;196000;209000;247000;204000;205000
Professional and related occupations;Teacher, except postsecondary (college and university);White;4777000;4676000;4702000;4621000;4479000;4593000;4588000;4747000;4743000;4743000
Professional and related occupations;Teacher, postsecondary (college and university);White;940000;1025000;992000;1030000;978000;967000;934000;998000;1044000;1045000
Professional and related occupations;Therapist;White;540000;533000;588000;642000;591000;580000;652000;680000;683000;667000
Professional and related occupations;Other health care professional;White;269000;292000;320000;432000;422000;430000;471000;483000;460000;485000
Professional and related occupations;Other natural scientist;White;198000;196000;199000;210000;247000;200000;212000;241000;260000;265000
Professional and related occupations;Other social scientist or urban planner;White;58000;53000;60000;71000;84000;65000;60000;53000;64000;65000
Professional and related occupations;Other professional or related occupation;White;5318000;5208000;5216000;5178000;5082000;5255000;5343000;5555000;5429000;5607000
All occupations;Other occupations;White;59784000;56633000;55866000;55777000;54926000;54457000;55328000;54777000;54769000;54291000
